"날짜","종가","시가","고가","저가","거래량","변동 %"
"2020- 05- 09","11,554,000","11,880,000","11,948,000","11,484,000","6.60K","-2.83%"
"2020- 05- 08","11,891,000","12,003,000","12,160,000","11,810,000","7.02K","-0.83%"
"2020- 05- 07","11,991,000","11,259,000","12,055,000","11,144,000","10.67K","6.32%"
"2020- 05- 06","11,278,000","10,973,000","11,442,000","10,880,000","7.25K","2.76%"
"2020- 05- 05","10,975,000","10,854,000","11,019,000","10,746,000","5.21K","1.26%"
"2020- 05- 04","10,838,000","10,883,000","10,954,000","10,457,000","6.14K","-0.45%"
"2020- 05- 03","10,887,000","10,881,000","11,125,000","10,697,000","5.45K","0.05%"
"2020- 05- 02","10,882,000","10,772,000","10,936,000","10,646,000","4.20K","0.99%"
"2020- 05- 01","10,775,000","10,458,000","11,045,000","10,458,000","7.31K","2.91%"
"2020- 04- 30","10,470,000","10,527,000","11,431,000","10,281,000","18.05K","-0.62%"
"2020- 04- 29","10,535,000","9,407,000","10,676,000","9,390,000","11.01K","11.85%"
"2020- 04- 28","9,419,000","9,495,000","9,495,000","9,342,000","3.69K","-0.75%"
"2020- 04- 27","9,490,000","9,387,000","9,493,000","9,316,000","4.61K","1.22%"
"2020- 04- 26","9,376,000","9,165,000","9,376,000","9,149,000","3.78K","2.32%"
"2020- 04- 25","9,163,000","9,101,000","9,268,000","9,065,000","3.11K","0.73%"
"2020- 04- 24","9,097,000","9,052,000","9,231,000","8,990,000","5.23K","0.51%"
"2020- 04- 23","9,051,000","8,644,000","9,165,000","8,571,000","7.42K","4.71%"
"2020- 04- 22","8,644,000","8,407,000","8,663,000","8,384,000","3.24K","2.82%"
"2020- 04- 21","8,407,000","8,387,000","8,497,000","8,309,000","3.43K","0.24%"
"2020- 04- 20","8,387,000","8,665,000","8,718,000","8,369,000","4.45K","-3.17%"
"2020- 04- 19","8,662,000","8,712,000","8,734,000","8,563,000","2.78K","-0.57%"
"2020- 04- 18","8,712,000","8,530,000","8,749,000","8,530,000","3.34K","2.30%"
"2020- 04- 17","8,516,000","8,556,000","8,610,000","8,490,000","3.90K","-0.55%"
