"날짜","종가","시가","고가","저가","거래량","변동 %"
"2020- 03- 26","8,272,000","8,270,000","8,338,000","8,088,000","1.54K","0.00%"
"2020- 03- 25","8,272,000","8,360,000","8,510,000","8,080,000","1.39K","-1.05%"
"2020- 03- 24","8,360,000","8,049,000","8,399,000","7,901,000","2.73K","3.86%"
"2020- 03- 23","8,049,000","7,376,000","8,152,000","7,234,000","3.84K","9.09%"
"2020- 03- 22","7,378,000","7,743,000","7,969,000","7,333,000","3.32K","-4.69%"
"2020- 03- 21","7,741,000","7,785,000","8,083,000","7,420,000","2.85K","-0.55%"
"2020- 03- 20","7,784,000","7,673,000","8,630,000","7,358,000","7.32K","1.45%"
"2020- 03- 19","7,673,000","6,738,000","8,114,000","6,616,000","8.89K","13.76%"
"2020- 03- 18","6,745,000","6,770,000","6,890,000","6,372,000","3.31K","-0.49%"
"2020- 03- 17","6,778,000","6,382,000","6,885,000","6,262,000","4.16K","6.20%"
"2020- 03- 16","6,382,000","6,902,000","6,909,000","6,000,000","5.56K","-7.53%"
"2020- 03- 15","6,902,000","6,822,000","7,298,000","6,660,000","4.42K","1.17%"
"2020- 03- 14","6,822,000","7,283,000","7,288,000","6,607,000","2.31K","-6.11%"
"2020- 03- 13","7,266,000","6,352,000","7,499,000","5,499,000","9.61K","14.44%"
"2020- 03- 12","6,349,000","9,515,000","9,535,000","6,000,000","8.81K","-33.27%"
"2020- 03- 11","9,514,000","9,550,000","9,605,000","9,133,000","1.82K","-0.35%"
"2020- 03- 10","9,547,000","9,733,000","9,847,000","9,405,000","1.88K","-1.87%"
"2020- 03- 09","9,729,000","9,864,000","10,045,000","9,349,000","2.07K","-1.36%"
"2020- 03- 08","9,863,000","10,691,000","10,691,000","9,810,000","3.33K","-7.74%"
"2020- 03- 07","10,690,000","10,854,000","10,971,000","10,637,000","1.13K","-1.51%"
"2020- 03- 06","10,854,000","10,786,000","10,887,000","10,719,000","0.37K","0.66%"
"2020- 03- 05","10,783,000","10,489,000","10,873,000","10,488,000","0.68K","2.77%"
"2020- 03- 04","10,492,000","10,509,000","10,577,000","10,413,000","0.45K","-0.16%"
"2020- 03- 03","10,509,000","10,673,000","10,681,000","10,406,000","0.99K","-1.62%"
"2020- 03- 02","10,682,000","10,361,000","10,746,000","10,321,000","0.81K","3.14%"
"2020- 03- 01","10,357,000","10,378,000","10,552,000","10,279,000","0.82K","-0.23%"
"2020- 02- 29","10,381,000","10,558,000","10,637,000","10,375,000","0.40K","-1.68%"
"2020- 02- 28","10,558,000","10,686,000","10,822,000","10,297,000","0.80K","-1.27%"
"2020- 02- 27","10,694,000","10,727,000","10,859,000","10,298,000","0.96K","-0.33%"
"2020- 02- 26","10,729,000","11,325,000","11,401,000","10,610,000","2.41K","-5.28%"
"2020- 02- 25","11,327,000","11,625,000","11,643,000","11,279,000","1.06K","-2.56%"
"2020- 02- 24","11,624,000","11,747,000","11,838,000","11,537,000","0.78K","-1.11%"
"2020- 02- 23","11,754,000","11,486,000","11,800,000","11,476,000","0.61K","2.36%"
"2020- 02- 22","11,483,000","11,500,000","11,530,000","11,397,000","0.28K","-0.14%"
"2020- 02- 21","11,499,000","11,526,000","11,613,000","11,454,000","0.55K","-0.24%"
"2020- 02- 20","11,527,000","11,422,000","11,585,000","11,350,000","0.90K","0.89%"
"2020- 02- 19","11,425,000","11,835,000","11,955,000","11,357,000","2.60K","-3.37%"
"2020- 02- 18","11,823,000","11,432,000","11,893,000","11,321,000","1.94K","3.46%"
"2020- 02- 17","11,428,000","11,658,000","11,680,000","11,139,000","1.26K","-1.99%"
"2020- 02- 16","11,660,000","11,500,000","11,760,000","11,325,000","1.70K","1.42%"
"2020- 02- 15","11,497,000","11,864,000","11,887,000","11,486,000","2.22K","-3.07%"
"2020- 02- 14","11,861,000","11,803,000","11,894,000","11,718,000","0.85K","0.53%"
"2020- 02- 13","11,798,000","11,804,000","11,998,000","11,623,000","0.76K","-0.06%"
"2020- 02- 12","11,805,000","11,783,000","11,910,000","11,752,000","1.10K","0.19%"
"2020- 02- 11","11,783,000","11,528,000","11,930,000","11,280,000","1.82K","2.22%"
"2020- 02- 10","11,527,000","11,837,000","11,867,000","11,403,000","0.71K","-2.62%"
"2020- 02- 09","11,837,000","11,579,000","11,850,000","11,560,000","0.85K","2.22%"
"2020- 02- 08","11,580,000","11,500,000","11,602,000","11,268,000","0.88K","0.70%"
"2020- 02- 07","11,500,000","11,284,000","11,618,000","11,271,000","0.56K","2.03%"
"2020- 02- 06","11,271,000","11,050,000","11,384,000","10,918,000","0.84K","2.00%"
"2020- 02- 05","11,050,000","10,645,000","11,108,000","10,602,000","1.64K","3.89%"
"2020- 02- 04","10,636,000","10,755,000","10,799,000","10,501,000","0.79K","-1.20%"
