"기준일자","상품명","당일신규실행건수","당일신규실행금액(억원)"
"2021-04-20","일반상환학자금_생활비","642","6"
"2021-04-20","취업후상환학자금_등록금","123","3"
"2021-04-20","취업후상환학자금_생활비","1804","13"
"2021-04-21","일반상환학자금_등록금","3","0"
"2021-04-21","일반상환학자금_생활비","543","5"
"2021-04-21","취업후상환학자금_등록금","150","4"
"2021-04-21","취업후상환학자금_생활비","1431","11"
"2021-04-22","일반상환학자금_등록금","7","0"
"2021-04-22","일반상환학자금_생활비","460","4"
"2021-04-22","취업후상환학자금_등록금","91","2"
"2021-04-22","취업후상환학자금_생활비","1156","8"
"2021-04-23","일반상환학자금_등록금","11","0"
"2021-04-23","일반상환학자금_생활비","469","4"
"2021-04-23","취업후상환학자금_등록금","201","6"
"2021-04-23","취업후상환학자금_생활비","1364","10"
"2021-04-24","일반상환학자금_등록금","9","0"
"2021-04-24","일반상환학자금_생활비","481","4"
"2021-04-24","취업후상환학자금_등록금","122","3"
"2021-04-24","취업후상환학자금_생활비","1606","11"
"2021-04-25","일반상환학자금_등록금","0","0"
"2021-04-25","일반상환학자금_생활비","0","0"
"2021-04-25","취업후상환학자금_등록금","0","0"
"2021-04-25","취업후상환학자금_생활비","0","0"
"2021-04-26","일반상환학자금_등록금","0","0"
"2021-04-26","일반상환학자금_생활비","0","0"
"2021-04-26","취업후상환학자금_등록금","0","0"
"2021-04-26","취업후상환학자금_생활비","0","0"
"2021-04-27","일반상환학자금_등록금","2","0"
"2021-04-27","일반상환학자금_생활비","932","10"
"2021-04-27","취업후상환학자금_등록금","192","4"
"2021-04-27","취업후상환학자금_생활비","2066","15"
"2021-04-28","일반상환학자금_등록금","2","0"
"2021-04-28","일반상환학자금_생활비","690","7"
"2021-04-28","취업후상환학자금_등록금","146","3"
"2021-04-28","취업후상환학자금_생활비","1818","15"
"2021-04-29","일반상환학자금_등록금","3","0"
"2021-04-29","일반상환학자금_생활비","616","6"
"2021-04-29","취업후상환학자금_등록금","116","3"
"2021-04-29","취업후상환학자금_생활비","1618","12"
"2021-04-30","일반상환학자금_등록금","1","0"
"2021-04-30","일반상환학자금_생활비","521","5"
"2021-04-30","취업후상환학자금_등록금","104","2"
"2021-04-30","취업후상환학자금_생활비","1471","11"
"2021-05-01","일반상환학자금_등록금","1","0"
"2021-05-01","일반상환학자금_생활비","495","4"
"2021-05-01","취업후상환학자금_등록금","384","8"
"2021-05-01","취업후상환학자금_생활비","1840","14"
"2021-05-02","일반상환학자금_등록금","0","0"
"2021-05-02","일반상환학자금_생활비","0","0"
"2021-05-02","취업후상환학자금_등록금","0","0"
"2021-05-02","취업후상환학자금_생활비","0","0"
"2021-05-03","일반상환학자금_등록금","0","0"
"2021-05-03","일반상환학자금_생활비","0","0"
